dataset,setting,design,method,n,strength,reps,ref_mse,current_mse,augmented_mse,current_gain,augmented_gain,augmented_gain_ci_low,augmented_gain_ci_high,augmented_minus_current_gain,augmented_minus_current_gain_ci_low,augmented_minus_current_gain_ci_high,current_activation,augmented_activation,gamma_change_rate,selected_075_rate,current_harm_rate,augmented_harm_rate,significance_class
Kang-Schafer,"KS CC, n=1000",kang_schafer_cc,ma_dr_bc,1000,0.0,96,9.189124984422325,4.863870336034386,4.690321559499059,0.4706927651675473,0.489579087513748,nan,nan,0.01888632234620069,nan,nan,0.9791666666666666,0.9791666666666666,0.5729166666666666,0.5729166666666666,0.3020833333333333,0.28125,crosses_zero
Kang-Schafer,"KS CC, n=1000",kang_schafer_cc,tmle,1000,0.0,96,1.535628473143345,2.1999192511437484,2.11156857421299,-0.43258560883586483,-0.3750517206096917,nan,nan,0.05753388822617311,nan,nan,0.96875,0.96875,0.5104166666666666,0.5104166666666666,0.5729166666666666,0.5625,crosses_zero
Kang-Schafer,"KS CC, n=200",kang_schafer_cc,aipw,200,0.0,96,63.369561234217805,47.4455600674958,46.862016198962245,0.2512878558187569,0.26049643888558194,nan,nan,0.009208583066825038,nan,nan,0.5520833333333334,0.5520833333333334,0.17708333333333334,0.17708333333333334,0.20833333333333334,0.20833333333333334,crosses_zero
Kang-Schafer,"KS CC, n=200",kang_schafer_cc,ctmle,200,0.0,96,11.779932776757391,10.247084526270397,10.289535257098484,0.1301236840257194,0.1265200360565354,nan,nan,-0.0036036479691839984,nan,nan,0.9375,0.9375,0.3958333333333333,0.3958333333333333,0.3958333333333333,0.3854166666666667,crosses_zero
Kang-Schafer,"KS CC, n=200",kang_schafer_cc,cui_selective_ml,200,0.0,96,7.024340927169317,7.023633227224245,7.023772094433074,0.00010074965785533685,8.098022891267487e-05,nan,nan,-1.9769428942661982e-05,nan,nan,0.0625,0.0625,0.010416666666666666,0.010416666666666666,0.03125,0.03125,crosses_zero
Kang-Schafer,"KS CC, n=200",kang_schafer_cc,ma_dr_bc,200,0.0,96,42.294433725747574,35.40203786564011,35.942458030421314,0.1629622447436051,0.1501846729173577,nan,nan,-0.012777571826247391,nan,nan,0.5520833333333334,0.5520833333333334,0.17708333333333334,0.17708333333333334,0.21875,0.21875,crosses_zero
Kang-Schafer,"KS CC, n=200",kang_schafer_cc,tmle,200,0.0,96,10.027841035156499,15.683285329902327,15.96483145851476,-0.5639742667358276,-0.5920507118674729,nan,nan,-0.02807644513164531,nan,nan,0.5,0.5,0.11458333333333333,0.11458333333333333,0.3541666666666667,0.3541666666666667,crosses_zero
Kang-Schafer,"KS CI, n=1000",kang_schafer_ci,aipw,1000,0.0,96,5.2359938472514065,3.8308533225717505,3.578598250487973,0.2683617600920737,0.31653887401595593,nan,nan,0.04817711392388224,nan,nan,0.9895833333333334,0.9895833333333334,0.5,0.5,0.3854166666666667,0.3854166666666667,crosses_zero
Kang-Schafer,"KS CI, n=1000",kang_schafer_ci,ctmle,1000,0.0,96,2.295267660032624,1.6999245331258628,1.6391785992420125,0.25937851923478905,0.28584424911092343,nan,nan,0.02646572987613438,nan,nan,1.0,1.0,0.8229166666666666,0.8229166666666666,0.3020833333333333,0.3020833333333333,crosses_zero
Kang-Schafer,"KS CI, n=1000",kang_schafer_ci,cui_selective_ml,1000,0.0,96,1.152820377008805,1.1531628076534812,1.1531628076534812,-0.0002970372934980592,-0.0002970372934980592,nan,nan,0.0,nan,nan,0.041666666666666664,0.041666666666666664,0.0,0.0,0.03125,0.03125,crosses_zero
Kang-Schafer,"KS CI, n=1000",kang_schafer_ci,ma_dr_bc,1000,0.0,96,8.146047687976287,3.8552241637956755,3.7455681704474997,0.5267368530770995,0.5401981041706856,nan,nan,0.01346125109358609,nan,nan,0.9895833333333334,0.9895833333333334,0.5,0.5,0.23958333333333334,0.25,crosses_zero
Kang-Schafer,"KS CI, n=1000",kang_schafer_ci,tmle,1000,0.0,96,1.5558244690156842,2.3404408370196963,2.3339667907937094,-0.504309055185648,-0.5001478876793399,nan,nan,0.004161167506308017,nan,nan,0.9895833333333334,0.9895833333333334,0.5208333333333334,0.5208333333333334,0.59375,0.625,crosses_zero
Kang-Schafer,"KS CI, n=200",kang_schafer_ci,aipw,200,0.0,96,67.22197169076972,48.72942676385835,48.72677790364228,0.2750967349184521,0.27513613959744987,nan,nan,3.940467899776756e-05,nan,nan,0.7291666666666666,0.7291666666666666,0.16666666666666666,0.16666666666666666,0.2708333333333333,0.2708333333333333,crosses_zero
Kang-Schafer,"KS CI, n=200",kang_schafer_ci,ctmle,200,0.0,96,11.626606921969852,10.502987542627741,10.359238992127318,0.0966420716622749,0.10900582933165925,nan,nan,0.012363757669384356,nan,nan,0.9270833333333334,0.9270833333333334,0.3958333333333333,0.3958333333333333,0.34375,0.3333333333333333,crosses_zero
