dataset,setting,design,method,n,strength,reps,ref_mse,current_mse,residual_mse,current_gain,residual_gain,residual_gain_ci_low,residual_gain_ci_high,residual_minus_current_gain,residual_minus_current_gain_ci_low,residual_minus_current_gain_ci_high,current_activation,residual_activation,gamma_change_rate,current_harm_rate,residual_harm_rate,mean_base_residual_loss,mean_current_residual_loss,mean_selected_residual_loss,significance_class
ACIC 2017,"ACIC 2017 A, strength=0",acic2017_semisynth,ma_dr_bc,3000,0.0,96,0.013928517166100947,0.013750264655197781,0.013663070479197579,0.012797666024133125,0.019057785099293234,nan,nan,0.006260119075160109,nan,nan,0.08333333333333333,0.0625,0.10416666666666667,0.020833333333333332,0.03125,19.989068412054095,19.941886844969964,19.903078547440334,crosses_zero
ACIC 2017,"ACIC 2017 A, strength=0",acic2017_semisynth,tmle,3000,0.0,96,0.0016636192462543312,0.0015984912533780014,0.001593686302970366,0.03914837666308968,0.042036627937204085,nan,nan,0.002888251274114406,nan,nan,0.08333333333333333,0.07291666666666667,0.010416666666666666,0.03125,0.020833333333333332,19.866256709440187,19.763074599849467,19.771240183591548,crosses_zero
ACIC 2017,"ACIC 2017 A, strength=3",acic2017_semisynth,aipw,3000,3.0,96,0.005073495747493794,0.004974472345166549,0.0049684367378346,0.0195177856167833,0.020707420462723558,nan,nan,0.0011896348459402573,nan,nan,0.10416666666666667,0.11458333333333333,0.010416666666666666,0.052083333333333336,0.052083333333333336,22.41900323263931,22.273854444391418,22.270730846956653,crosses_zero
ACIC 2017,"ACIC 2017 A, strength=3",acic2017_semisynth,ctmle,3000,3.0,96,0.01270774975276461,0.01270774975276461,0.01270774975276461,0.0,0.0,nan,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.6424113172563968,0.6424113172563968,0.6424113172563968,crosses_zero
ACIC 2017,"ACIC 2017 A, strength=3",acic2017_semisynth,cui_selective_ml,3000,3.0,96,0.011846873433469641,0.011778492851464312,0.011622247902072677,0.005772036173877004,0.018960743748840492,nan,nan,0.013188707574963487,nan,nan,0.21875,0.2916666666666667,0.09375,0.0625,0.07291666666666667,2.7480060703050184,2.6595399220658753,2.6510107767358866,crosses_zero
ACIC 2017,"ACIC 2017 A, strength=3",acic2017_semisynth,ma_dr_bc,3000,3.0,96,0.025150349693341956,0.025146342944647623,0.024851782392892558,0.0001593118482720035,0.011871298176360456,nan,nan,0.011711986328088453,nan,nan,0.0625,0.11458333333333333,0.13541666666666666,0.03125,0.03125,22.41900323263931,22.366262790196057,22.270730846956653,crosses_zero
ACIC 2017,"ACIC 2017 A, strength=3",acic2017_semisynth,tmle,3000,3.0,96,0.007929361986641658,0.007823727814457107,0.007823727807703549,0.013321900597111136,0.013321901448826279,nan,nan,8.517151428577563e-10,nan,nan,0.0625,0.0625,0.0,0.010416666666666666,0.010416666666666666,21.80204074122388,21.723459147733532,21.723459147733532,crosses_zero
ACIC 2017,"ACIC 2017 B, strength=0",acic2017_misaligned,aipw,3000,0.0,96,0.004611308330142908,0.00463298062305173,0.0046329806232791385,-0.004699814316721174,-0.004699814366036614,nan,nan,-4.931544062003468e-11,nan,nan,0.08333333333333333,0.08333333333333333,0.0,0.020833333333333332,0.020833333333333332,19.77768399211931,19.704415291749243,19.704415291749243,crosses_zero
ACIC 2017,"ACIC 2017 B, strength=0",acic2017_misaligned,ctmle,3000,0.0,96,0.001104223530579829,0.001104223530579829,0.001104223530579829,0.0,0.0,nan,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.6216180989670551,0.6216180989670551,0.6216180989670551,crosses_zero
ACIC 2017,"ACIC 2017 B, strength=0",acic2017_misaligned,cui_selective_ml,3000,0.0,96,0.0010566194219874664,0.001078802389104398,0.0010795449732209485,-0.020994282951193766,-0.02169707536736354,nan,nan,-0.000702792416169773,nan,nan,0.16666666666666666,0.14583333333333334,0.10416666666666667,0.08333333333333333,0.08333333333333333,1.3018204227629095,1.2820544257679403,1.2844913854758382,crosses_zero
ACIC 2017,"ACIC 2017 B, strength=0",acic2017_misaligned,ma_dr_bc,3000,0.0,96,0.00943291156974319,0.009485685141196566,0.009486112635980752,-0.005594621667253774,-0.005639941161773132,nan,nan,-4.531949451935802e-05,nan,nan,0.0625,0.08333333333333333,0.09375,0.03125,0.052083333333333336,19.77768399211931,19.78687922144872,19.704415291749243,crosses_zero
ACIC 2017,"ACIC 2017 B, strength=0",acic2017_misaligned,tmle,3000,0.0,96,0.0015911419719730879,0.001586814420889664,0.0015868144210699831,0.002719776839308352,0.0027197767259815597,nan,nan,-1.1332679239473009e-10,nan,nan,0.041666666666666664,0.041666666666666664,0.0,0.0,0.0,19.63157415581655,19.60035412770417,19.60035412770417,crosses_zero
ACIC 2017,"ACIC 2017 B, strength=3",acic2017_misaligned,aipw,3000,3.0,96,0.005836152067653127,0.005783904619828771,0.005793594367667261,0.008952379447742187,0.007292082093223962,nan,nan,-0.0016602973545182254,nan,nan,0.09375,0.11458333333333333,0.020833333333333332,0.041666666666666664,0.0625,21.178927070023565,21.033615426787673,21.025346159165377,crosses_zero
ACIC 2017,"ACIC 2017 B, strength=3",acic2017_misaligned,ctmle,3000,3.0,96,0.0013163998202661723,0.0013163998202661723,0.0013163998202661723,0.0,0.0,nan,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.649618393952419,0.649618393952419,0.649618393952419,crosses_zero
ACIC 2017,"ACIC 2017 B, strength=3",acic2017_misaligned,cui_selective_ml,3000,3.0,96,0.0012842365844964337,0.0012774403115210086,0.001285631285539559,0.0052920723934134495,-0.0010860156609477922,nan,nan,-0.006378088054361242,nan,nan,0.3125,0.4375,0.14583333333333334,0.15625,0.22916666666666666,1.7383008248020995,1.6686290392887348,1.6662693858533562,crosses_zero
ACIC 2017,"ACIC 2017 B, strength=3",acic2017_misaligned,ma_dr_bc,3000,3.0,96,0.011487271463651035,0.011366344494789168,0.01164778104290682,0.010527040232705676,-0.013972820244013917,nan,nan,-0.024499860476719593,nan,nan,0.10416666666666667,0.11458333333333333,0.17708333333333334,0.0625,0.0625,21.178927070023565,21.122332703784377,21.025346159165377,crosses_zero
ACIC 2017,"ACIC 2017 B, strength=3",acic2017_misaligned,tmle,3000,3.0,96,0.001991594628863636,0.002007457141048214,0.002007457141388337,-0.007964729345363297,-0.007964729516142688,nan,nan,-1.7077939062914993e-10,nan,nan,0.09375,0.09375,0.0,0.041666666666666664,0.041666666666666664,21.01517702640314,20.867896061778854,20.867896061778854,crosses_zero
IHDP,"IHDP A, strength=0",ihdp_semisynth,aipw,3000,0.0,96,0.003665405720013353,0.003614728630906389,0.0036144928393361344,0.013825778911803255,0.013890107826053377,nan,nan,6.432891425012244e-05,nan,nan,0.10416666666666667,0.11458333333333333,0.010416666666666666,0.041666666666666664,0.041666666666666664,11.870791765190864,11.794633883638078,11.791458716052167,crosses_zero
IHDP,"IHDP A, strength=0",ihdp_semisynth,ctmle,3000,0.0,96,0.0007650311342005037,0.0007650311342005037,0.0007650311342005037,0.0,0.0,nan,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.8232342281615854,0.8232342281615854,0.8232342281615854,crosses_zero
