source,dataset,setting,group,design,method,n,strength,seed0,rep,ref_error,current_error,current_gamma,current_replay_error,residual_error,residual_gamma,base_residual_loss,current_residual_loss,selected_residual_loss,eligible_count,gamma_changed,grid
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2031100000,4,0.03366385996116621,0.03366385996116621,0.0,0.03366385996116621,0.03366385996116621,0.0,14.429271427778197,14.429271427778197,14.429271427778197,1,False,0|0.25|0.5|1
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2031200000,1,0.12708126560186558,0.13361103892063195,0.25,0.13361103894881957,0.13361103894881957,0.25,15.198970154616909,14.727874157919702,14.727874157919702,2,False,0|0.25|0.5|1
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2031200000,2,0.016157310123956565,0.016157310123956565,0.0,0.016157310123956565,0.016157310123956565,0.0,15.953261431434784,15.953261431434784,15.953261431434784,1,False,0|0.25|0.5|1
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2031200000,3,-0.010897498009413678,-0.010897498009413678,0.0,-0.010897498009413678,-0.010897498009413678,0.0,28.107057680160338,28.107057680160338,28.107057680160338,1,False,0|0.25|0.5|1
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2031200000,4,-0.019808532188945963,-0.019808532188945963,0.0,-0.019808532188945963,-0.019808532188945963,0.0,23.003487081162564,23.003487081162564,23.003487081162564,1,False,0|0.25|0.5|1
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2031300000,1,-0.08646986786797778,-0.04823250962059415,0.5,-0.04823250918370531,-0.04823250918370531,0.5,25.318887196469696,21.594270401782047,21.594270401782047,3,False,0|0.25|0.5|1
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2031300000,2,0.003145874640975594,0.003145874640975594,0.0,0.003145874640975594,0.003145874640975594,0.0,19.45192204476206,19.45192204476206,19.45192204476206,1,False,0|0.25|0.5|1
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2031300000,3,-0.1014058641159508,-0.1014058641159508,0.0,-0.1014058641159508,-0.1014058641159508,0.0,18.48016104975802,18.48016104975802,18.48016104975802,1,False,0|0.25|0.5|1
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2031300000,4,0.12513519392079947,0.12513519392079947,0.0,0.12513519392079947,0.12513519392079947,0.0,20.33826852219174,20.33826852219174,20.33826852219174,1,False,0|0.25|0.5|1
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2031400000,1,0.02655555370274315,0.02655555370274315,0.0,0.02655555370274315,0.02655555370274315,0.0,20.40064999099363,20.40064999099363,20.40064999099363,1,False,0|0.25|0.5|1
