dataset,setting,method,rows,active_rows,active_same_sample_harm_rows,active_fresh_risk_harm_rows,active_share,same_sample_mse_gain_pct,fresh_risk_gain_pct,gain_gap_same_minus_fresh_pct,mean_selection_penalty_delta,median_selection_penalty_delta,p90_abs_selection_penalty_delta,same_sample_harm_share,fresh_risk_harm_share,active_same_sample_harm_share,active_fresh_risk_harm_share
IHDP,"IHDP A, strength=3",ma_dr_bc,96,21,6,7,0.21875,4.635877864939476,3.2767889338864924,1.359088931052984,-0.001104327692887981,0.0,0.005975182684645489,0.0625,0.07291666666666667,0.2857142857142857,0.3333333333333333
IHDP,"IHDP A, strength=3",tmle,96,21,4,1,0.21875,4.199198192044899,6.087584577314323,-1.888386385269424,0.0003096993167222261,0.0,0.0018258083867863872,0.041666666666666664,0.010416666666666666,0.19047619047619047,0.047619047619047616
IHDP,"IHDP B, strength=0",aipw,96,13,2,7,0.13541666666666666,4.001500026609008,0.8307313069331504,3.170768719675858,-0.00012095440621959376,0.0,0.000329714135671406,0.020833333333333332,0.07291666666666667,0.15384615384615385,0.5384615384615384
IHDP,"IHDP B, strength=0",ctmle,96,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
IHDP,"IHDP B, strength=0",cui_selective_ml,96,4,3,4,0.041666666666666664,-0.43506520529802745,-0.13794642862687018,-0.29711877667115727,2.1549555576918063e-06,0.0,0.0,0.03125,0.041666666666666664,0.75,1.0
IHDP,"IHDP B, strength=0",ma_dr_bc,96,13,4,7,0.13541666666666666,5.3395238558536064,0.8307313069331504,4.508792548920456,-0.0004382744391222884,0.0,0.0003714101827841278,0.041666666666666664,0.07291666666666667,0.3076923076923077,0.5384615384615384
IHDP,"IHDP B, strength=0",tmle,96,13,6,8,0.13541666666666666,2.5179980781603035,-0.2196902507689299,2.7376883289292335,-5.0523133656140975e-05,0.0,0.0002271462371922641,0.0625,0.08333333333333333,0.46153846153846156,0.6153846153846154
IHDP,"IHDP B, strength=3",aipw,96,13,5,6,0.13541666666666666,4.6322233040860805,0.4806733680846613,4.15154993600142,-0.00013777927844382858,0.0,0.0001660494031078283,0.052083333333333336,0.0625,0.38461538461538464,0.46153846153846156
IHDP,"IHDP B, strength=3",ctmle,96,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
IHDP,"IHDP B, strength=3",cui_selective_ml,96,7,4,2,0.07291666666666667,0.23321141681178448,0.13414799810528147,0.09906341870650301,-9.039396816724944e-07,0.0,0.0,0.041666666666666664,0.020833333333333332,0.5714285714285714,0.2857142857142857
IHDP,"IHDP B, strength=3",ma_dr_bc,96,13,7,6,0.13541666666666666,-0.2330235430330612,0.4806733680846613,-0.7136969111177225,3.96074341811432e-05,0.0,0.00031988782497063,0.07291666666666667,0.0625,0.5384615384615384,0.46153846153846156
IHDP,"IHDP B, strength=3",tmle,96,11,4,3,0.11458333333333333,2.6497010451088534,0.06695004190339267,2.582751003205461,-3.8858402048276066e-05,0.0,5.9912548075095255e-05,0.041666666666666664,0.03125,0.36363636363636365,0.2727272727272727
Kang-Schafer,"KS CC, n=1000",aipw,96,94,36,8,0.9791666666666666,30.501444533131433,29.90448463645032,0.5969598966811134,0.8028467478528616,0.9801558764154259,8.41979964533946,0.375,0.08333333333333333,0.3829787234042553,0.0851063829787234
Kang-Schafer,"KS CC, n=1000",ctmle,96,96,29,8,1.0,30.423571388731894,28.429328884294073,1.9942425044378211,-0.06762847760482626,-0.05308394959415984,3.029541523223586,0.3020833333333333,0.08333333333333333,0.3020833333333333,0.08333333333333333
Kang-Schafer,"KS CC, n=1000",cui_selective_ml,96,11,6,6,0.11458333333333333,-0.058388516052639276,-0.0012924565517287985,-0.05709605950091048,0.0008436734062715613,0.0,0.0012640461728717022,0.0625,0.0625,0.5454545454545454,0.5454545454545454
