group,design,method,n,strength,reps,reference_mse,no_shrinkage_mse,c2_shrinkage_mse,no_shrinkage_gain,no_shrinkage_gain_ci_low,no_shrinkage_gain_ci_high,c2_shrinkage_gain,c2_shrinkage_gain_ci_low,c2_shrinkage_gain_ci_high,c2_minus_no_shrinkage_gain,c2_minus_no_shrinkage_gain_ci_low,c2_minus_no_shrinkage_gain_ci_high,path_activation,final_activation,no_shrinkage_harm,c2_shrinkage_harm,mean_shrink_weight
kang_schafer,kang_schafer_cc,tmle,1000,0,96,1.53562847314,2.30294485549,1.48070597721,-0.499675797737,-0.943635738784,-0.165807100517,0.0357654842269,-0.0290548851206,0.116790916429,0.535441281964,0.216418714379,0.961533937346,0.96875,0.09375,0.572916666667,0.0416666666667,0.0356416522477
kang_schafer,kang_schafer_ci,aipw,200,0,96,67.2219716908,48.8726322838,60.4627312602,0.27296639693,0.132899428684,0.400278082862,0.100551058836,0.0276470526845,0.194937960671,-0.172415338095,-0.271184342015,-0.064619826578,0.75,0.1875,0.28125,0.0104166666667,0.0699691583713
kang_schafer,kang_schafer_ci,aipw,1000,0,96,5.23599384725,3.85124753566,4.63156391605,0.264466756836,0.0315845855468,0.426417759588,0.11543747927,-0.0223889186702,0.23064906921,-0.149029277566,-0.263193998781,0.0055525077207,0.989583333333,0.239583333333,0.40625,0.0520833333333,0.117796790223
kang_schafer,kang_schafer_ci,ctmle,200,0,96,11.626606922,11.6284316957,11.626606922,-0.000156948084432,-0.00281229497814,0.00267261352921,0,0,0,0.000156948084432,-0.00267261352921,0.00281229497814,0.03125,0,0.0208333333333,0,0
kang_schafer,kang_schafer_ci,ctmle,1000,0,96,2.29526766003,2.29526766003,2.29526766003,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kang_schafer,kang_schafer_ci,cui_selective_ml,200,0,96,6.71468702674,6.69144446094,6.70925593922,0.00346145184487,0.000525211718916,0.00724484870657,0.000808837031037,-6.80064192232e-06,0.00268185248113,-0.00265261481383,-0.00557022323432,-0.000316571685593,0.135416666667,0.03125,0.0416666666667,0.0104166666667,0.0098096522256
kang_schafer,kang_schafer_ci,cui_selective_ml,1000,0,96,1.15282037701,1.15238246174,1.15282037701,0.00037986426913,-0.00181941647128,0.00260688594487,0,0,0,-0.00037986426913,-0.00260688594487,0.00181941647128,0.09375,0,0.0416666666667,0,0
kang_schafer,kang_schafer_ci,ma_dr_bc,200,0,96,52.8171186708,39.6317849031,43.0503016555,0.249641292436,0.0932376946015,0.404759630464,0.184917641498,0.0553771292955,0.336659962363,-0.0647236509379,-0.117018733935,-0.0126939508132,0.53125,0.208333333333,0.21875,0.0416666666667,0.125358032243
kang_schafer,kang_schafer_ci,ma_dr_bc,1000,0,96,8.14604768798,4.74117535081,5.26367649003,0.417978443975,0.335995061656,0.500509545665,0.35383676948,0.274810291367,0.435570007868,-0.0641416744947,-0.0975481068402,-0.0340298413255,0.895833333333,0.583333333333,0.208333333333,0.09375,0.430258114849
kang_schafer,kang_schafer_ci,tmle,200,0,96,11.2091367859,15.1318572873,10.9017353003,-0.349957412087,-0.80223177529,-0.012074509832,0.027424188992,-0.0304787534912,0.0864042362327,0.377381601079,0.0682417519516,0.797272839799,0.6875,0.135416666667,0.416666666667,0.0625,0.0367486682327
kang_schafer,kang_schafer_ci,tmle,1000,0,96,1.55582446902,2.57315111206,1.74912195228,-0.653882660484,-1.18825976734,-0.24738534428,-0.124241189876,-0.34654940258,0.0442058477867,0.529641470608,0.221604899748,0.921161799212,0.989583333333,0.1875,0.604166666667,0.125,0.0895394284776
kang_schafer,kang_schafer_ic,aipw,200,0,96,95.8277920761,71.6584574679,84.1380036264,0.25221633604,0.135708129144,0.353830930157,0.12198745475,0.0525760573463,0.188719466454,-0.13022888129,-0.190306585039,-0.0659063739031,0.395833333333,0.15625,0.09375,0.0104166666667,0.0601433371811
kang_schafer,kang_schafer_ic,aipw,1000,0,96,8.08847396784,6.99877837863,7.89898254189,0.134722024642,0.068779633894,0.203774625638,0.0234273395333,0.00576427931037,0.0473673210718,-0.111294685108,-0.170118456274,-0.0534398225427,0.614583333333,0.135416666667,0.21875,0.0208333333333,0.0454288922029
kang_schafer,kang_schafer_ic,ctmle,200,0,96,16.769315199,16.4708198325,16.5095049843,0.0178000927841,-1.72294471394e-05,0.0514705242614,0.0154931916798,0,0.0447860033951,-0.00230690110422,-0.00667888224612,1.72294471394e-05,0.0208333333333,0.0104166666667,0.0104166666667,0,0.00900155987109
kang_schafer,kang_schafer_ic,ctmle,1000,0,96,2.49065449284,2.49065449284,2.49065449284,0,0,0,0,0,0,0,0,0,0,0,0,0,0
