group,design,method,n,strength,reps,reference_mse,proposal_mse,repaired_mse,proposal_gain,repaired_gain,repaired_gain_ci_low,repaired_gain_ci_high,path_activation,final_activation,conditional_gain_when_active,conditional_harm_when_active,unconditional_harm,mean_shrink_weight
anchor,regional_shift,tmle,3000,0,96,0.0017218652021,0.0017218652021,0.0017218652021,0,0,0,0,0,0,,,0,0
anchor,regional_shift,tmle,3000,3,96,0.00959133145811,0.00959133145811,0.00959133145811,0,0,0,0,0,0,,,0,0
anchor,regional_shift,tmle,3000,5,96,0.0239888646135,0.0238967548936,0.0238651099629,0.00383968651175,0.0051588373412,0,0.0163803530063,0.0208333333333,0.0104166666667,0.211524271626,0,0,0.0069370027186
anchor,regional_shift,tmle,3000,8,96,0.0534139023596,0.053416117019,0.0534139023596,-4.14622280132e-05,0,0,0,0.0104166666667,0,,,0,0
kang_schafer,kang_schafer_cc,aipw,200,0,96,63.3695612342,48.1215589085,53.6250226238,0.240620291963,0.153773174701,0.0518920793849,0.26209365788,0.583333333333,0.135416666667,0.48538983379,0.0769230769231,0.0104166666667,0.0570502596345
kang_schafer,kang_schafer_cc,aipw,1000,0,96,4.64312869565,3.11773794146,3.7743392649,0.328526485948,0.187112933476,0.0905056469278,0.286689506131,1,0.197916666667,0.449630915555,0.0526315789474,0.0104166666667,0.0784363978456
kang_schafer,kang_schafer_cc,ctmle,200,0,96,11.7799327768,11.8823747768,11.8271062219,-0.00869631448124,-0.0040045597926,-0.0143617017758,0.000282928827977,0.0729166666667,0.0208333333333,-0.504752721853,0.5,0.0104166666667,0.011145198431
kang_schafer,kang_schafer_cc,ctmle,1000,0,96,2.24916715625,2.24916715625,2.24916715625,0,0,0,0,0,0,,,0,0
kang_schafer,kang_schafer_cc,cui_selective_ml,200,0,96,7.02434092717,7.04576036052,7.03964520304,-0.0030493157394,-0.00217874901422,-0.00574456899309,0.000225950236511,0.09375,0.0416666666667,-0.0295874476298,0.75,0.03125,0.0216389808707
kang_schafer,kang_schafer_cc,cui_selective_ml,1000,0,96,1.47422986674,1.47764380564,1.47555566537,-0.00231574395257,-0.000899316085126,-0.00292609648817,0.000331203455105,0.177083333333,0.0520833333333,-0.0430873719164,0.6,0.03125,0.0210460726931
