dataset,design,setting,n,epsilon,strength,rep,seed,bin_by,bin,bins,units,responders,response_rate,mean_true_pi,mean_pi_hat,p_label_rmse,p_label_skill,p_true_rmse,p_true_nrmse,p_calibration_error,m_observed_rmse,m_observed_skill,m_true_rmse,m_true_nrmse,m_observed_label_fraction
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.05,0.0,3,332727224,pi_hat,2,5,600,416,0.6933333333333334,0.7151720717905993,0.5992369401703278,0.4757846715676861,-0.06466319151804911,0.24060642602168505,0.8827586146485235,-0.09409639316300551,1.1732406359103393,0.3174765912735388,0.6953548215251105,0.6914648043069448,0.6933333333333334
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.05,0.0,3,332727224,pi_hat,3,5,600,460,0.7666666666666667,0.7753745816843713,0.8942982414364815,0.44255132199164515,-0.09482301451489139,0.1542903806772564,0.5660745016343529,0.12763157476981482,1.3148643987832629,0.25879934144562944,0.7811410769743535,0.776771146479614,0.7666666666666667
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.05,0.0,3,332727224,pi_hat,4,5,600,484,0.8066666666666666,0.7974028084426856,0.9592859028776487,0.4231138773466023,-0.14792546226095782,0.17559949903110172,0.6442553221072299,0.152619236210982,1.268790504624312,0.09029958833663998,0.7798567530108867,0.7754940073981339,0.8066666666666666
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.05,0.0,3,332727224,pi_hat,5,5,600,477,0.795,0.8216533916545165,0.9864400733510653,0.4467523018810711,-0.2246517517167399,0.1746313432803838,0.6407032647353677,0.1914400733510653,1.2802819217530066,0.17869380183325922,0.8107746569873374,0.8062389476227059,0.795
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.05,0.0,3,332727224,true_pi,1,5,600,117,0.195,0.2005791918350344,0.2331343448429349,0.37397438686298046,0.10905021799941261,0.21086162602604228,0.7736282025007426,0.0381343448429349,1.3400223063832768,0.24647747885986493,0.756421381386863,0.7521897400626109,0.195
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.05,0.0,3,332727224,true_pi,2,5,600,425,0.7083333333333334,0.719448017774075,0.7312585959723219,0.5264059018534706,-0.34127250369370987,0.28909595098285684,1.0606613688992814,0.022925262638988593,1.1879437430045947,0.2965988477157194,0.7219189491700644,0.7178803244917565,0.7083333333333334
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.05,0.0,3,332727224,true_pi,3,5,600,454,0.7566666666666667,0.7716499409845172,0.7938752405997366,0.5140184087763483,-0.43499747815383594,0.2601822421096977,0.9545801390200748,0.03720857393306991,1.3352791797090426,0.09235137666556259,0.7386880936367849,0.7345556574845501,0.7566666666666667
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.05,0.0,3,332727224,true_pi,4,5,600,489,0.815,0.8228776504894815,0.848137737615034,0.45478889572484504,-0.37179863820012593,0.23169747945466584,0.8500726658170039,0.03313773761503398,1.1988264807307913,0.07259425726770241,0.7538026552047743,0.7495856637968277,0.815
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.05,0.0,3,332727224,true_pi,5,5,600,526,0.8766666666666667,0.8729898562799417,0.8923509281221778,0.39060408850154926,-0.41110264678567,0.19180857762277234,0.703724655486641,0.015684261455511054,1.2709184353908058,0.24506972977804597,0.7828742547382864,0.7784946283427849,0.8766666666666667
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.05,0.0,4,332727261,pi_hat,1,5,600,170,0.2833333333333333,0.2985181420537388,0.05592616620689417,0.4899237469656215,-0.18206703177428696,0.40026558868974643,1.4809495553786824,-0.22740716712643916,1.2182930161173813,0.19946278623593638,0.7420407934964212,0.7390528973482439,0.2833333333333333
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.05,0.0,4,332727261,pi_hat,2,5,600,410,0.6833333333333333,0.7083260535999445,0.6254815054684877,0.4805201336055727,-0.06705847969337997,0.24098514776594726,0.891625104733836,-0.05785182786484559,1.223021461125667,0.30295083129201306,0.6562694168047613,0.6536268870680899,0.6833333333333333
