dataset,bin_by,bin,rep_bins,mean_units,sd_units,mean_responders,sd_responders,mean_response_rate,sd_response_rate,mean_mean_true_pi,sd_mean_true_pi,mean_mean_pi_hat,sd_mean_pi_hat,mean_p_label_rmse,sd_p_label_rmse,mean_p_label_skill,sd_p_label_skill,mean_p_true_rmse,sd_p_true_rmse,mean_p_true_nrmse,sd_p_true_nrmse,mean_p_calibration_error,sd_p_calibration_error,mean_m_observed_rmse,sd_m_observed_rmse,mean_m_observed_skill,sd_m_observed_skill,mean_m_true_rmse,sd_m_true_rmse,mean_m_true_nrmse,sd_m_true_nrmse,mean_m_observed_label_fraction,sd_m_observed_label_fraction
IHDP,pi_hat,1,128,600.0,0.0,159.3671875,17.65196124627073,0.2656119791666667,0.02941993541045122,0.26466789404602326,0.023448668433566976,0.09280687341366066,0.015106134225527895,0.4407893790440958,0.019491921360566808,-0.001836741543648237,0.04106942303848599,0.328827807258641,0.014547293723049085,1.2092322479268338,0.06641530537254273,-0.17280510575300603,0.020718828027586015,1.181298384098133,0.07378976662238017,-0.14419464983689417,0.11259050449117569,0.6648388549096826,0.1755258251200596,1.3942352058660563,0.2966203581141011,0.2656119791666667,0.02941993541045122
IHDP,pi_hat,2,128,600.0,0.0,447.8828125,12.929267364775304,0.7464713541666667,0.021548778941292174,0.7452181673787981,0.011342260670542774,0.5601149657981781,0.019970395150962827,0.4762257006184888,0.009444309038044064,-0.20432325387842767,0.06173120916297931,0.24599717789160502,0.016812917031461674,0.9036470529525664,0.05395516607005359,-0.18635638836848858,0.022818201438506904,1.2701720915997945,0.05565267397390224,-0.3723616842058095,0.1299433403287003,0.7850904476816222,0.04146172460832113,1.6808998824450012,0.28561579548391214,0.7464713541666667,0.021548778941292174
IHDP,pi_hat,3,128,600.0,0.0,465.859375,11.016843904193932,0.7764322916666666,0.01836140650698989,0.775344515192136,0.007164082845715461,0.8159963188227266,0.016610852993857093,0.42525426422986423,0.01424319445119023,-0.04458248243985164,0.017286377357754807,0.13158196299172017,0.01889804414996035,0.48389495186056064,0.07153879688650952,0.039564027156059944,0.02224766260465715,1.1900756487244366,0.04663791235302236,-0.18993456151107513,0.1110807455403977,0.6495745079618146,0.03929201829644677,1.392143451559237,0.245702695052524,0.7764322916666666,0.01836140650698989
IHDP,pi_hat,4,128,600.0,0.0,475.34375,11.24822034534797,0.7922395833333333,0.018747033908913285,0.7914526903904155,0.004653664242801595,0.9586569106578826,0.004761292817439994,0.43801707552161223,0.019190107749127546,-0.16878076721255003,0.025755833318810407,0.18134774004502258,0.007807806221816485,0.6666606683645669,0.03156239792223908,0.16641732732454934,0.017789467306479168,1.2332768849711804,0.047867715598482234,-0.2870681983156032,0.11455155513705258,0.7223837050271755,0.036909747166261254,1.549587993369239,0.2772504603869172,0.7922395833333333,0.018747033908913285
IHDP,pi_hat,5,128,600.0,0.0,496.796875,10.745172880618302,0.8279947916666668,0.017908621467697172,0.8285770920604336,0.004227404058107509,0.9868830763385632,0.001620306815026827,0.4087654969903695,0.020916023656192263,-0.17701867011195838,0.023720799405909147,0.16814354975249168,0.005052436284274307,0.6180648749704151,0.020582805249992214,0.15888828467189645,0.017029326387245563,1.1890543674260488,0.04744153627916123,-0.14476186921822032,0.12718215452874068,0.6398573580283826,0.037729451122792454,1.3715174694839014,0.2440117964659921,0.8279947916666668,0.017908621467697172
IHDP,true_pi,1,128,600.0,0.0,124.0234375,15.38285614518948,0.20670572916666666,0.0256380935753158,0.20669140555183202,0.02196390324014194,0.23773798947328809,0.026560314607637085,0.3539478656699181,0.0222969485496515,0.22851789166494435,0.0799248870797916,0.19429528436194984,0.018957500909840816,0.7146628338406795,0.07505235688327054,0.03103226030662142,0.009478312131448252,1.2172031553596705,0.09911435679116724,-0.2738537888873684,0.1691771851195314,0.7043378222956463,0.17170437928267923,1.4805433855031453,0.29710138299343647,0.20670572916666666,0.0256380935753158
IHDP,true_pi,2,128,600.0,0.0,433.1015625,9.708115036328822,0.7218359375000001,0.016180191727214698,0.7212443476318142,0.0022817619120323513,0.7168208817590676,0.018524851281880507,0.516672899722,0.015774142437089866,-0.33215958550147184,0.05804977742342982,0.2580144647048097,0.012881669596915871,0.9483556800997716,0.04810737650470543,-0.005015055740932439,0.01027566060409972,1.2253098208291886,0.05315672295602632,-0.32187809902732,0.1114936784844468,0.7021532747667776,0.04151530786789689,1.5044510412710173,0.2647681505582206,0.7218359375000001,0.016180191727214698
IHDP,true_pi,3,128,600.0,0.0,466.4921875,10.81592871485587,0.7774869791666666,0.018026547858093118,0.7759245472380474,0.0021386618471570433,0.7677616367926263,0.018405420711260365,0.4798611660996145,0.01744848455454631,-0.3356332277575734,0.06559513325447922,0.24089058786570494,0.014359049283186235,0.8854937494852744,0.05471742254579939,-0.009725342374040338,0.01011293514167364,1.213161571658668,0.05792428615210625,-0.2755048470245112,0.12331867626867168,0.6943085766037707,0.04282559394640251,1.4886257402877634,0.2679591013612517,0.7774869791666666,0.018026547858093118
IHDP,true_pi,4,128,600.0,0.0,496.2734375,8.650067597053432,0.8271223958333334,0.014416779328422391,0.8267152685852324,0.0018806651251740733,0.8215965292752057,0.017381798184511184,0.4376577454025237,0.020128133830236785,-0.3436219209564893,0.07421420280918249,0.21746177361291585,0.015834941120856098,0.7993429249012849,0.05923677729488975,-0.005525866558127745,0.009784669748428012,1.2140746762847883,0.05220314656249797,-0.24707222142612817,0.13924210171774418,0.6849063095765152,0.039016874428787256,1.4678723950360055,0.2588158758563932,0.8271223958333334,0.014416779328422391
IHDP,true_pi,5,128,600.0,0.0,525.359375,7.010855840008052,0.8755989583333333,0.011684759733346749,0.8746847900608803,0.0010100229691595462,0.8705411077308236,0.012257692791355244,0.3828053196203268,0.017799250349290963,-0.35049173664500244,0.07243442476853582,0.19308740227286303,0.012178414871319897,0.7096814931162407,0.044806605146000655,-0.005057850602509765,0.006819741894810175,1.216089751794863,0.049879850025869255,-0.18895864710704324,0.13825816735029334,0.6872454877155041,0.0360255493472266,1.4724088013754872,0.25459321385113537,0.8755989583333333,0.011684759733346749
Kang-Schafer,pi_hat,1,256,120.0,80.0,33.70703125,22.821747042273593,0.28619140624999995,0.06778186580788007,0.28421791572727995,0.03236603888617866,0.027845631045009325,0.01084288095255822,0.5154946403504892,0.05977734372067,-0.3328977651792644,0.1336137056395898,0.29652196912595563,0.03323453361749574,1.2987684613278738,0.15813880729952315,-0.2583457752049907,0.06412449552427206,16.505220444331115,6.138599658160427,0.6756075355221305,0.3041189399755781,18.69349699980588,5.430789049624941,0.5187070722854508,0.1511412750577737,0.28619140624999995,0.06778186580788007
Kang-Schafer,pi_hat,2,256,120.0,80.0,48.703125,33.16433027718749,0.40421875000000007,0.06715169831015073,0.40469953181016227,0.03016128521024426,0.17450543446142547,0.05012408550394741,0.5412911012810417,0.038312397818457015,-0.24257746416733345,0.1314657884767924,0.29571247254102995,0.03973127578292379,1.294163376299457,0.17629629863563737,-0.22971331553857452,0.06612225711277574,13.837474953416905,4.5025055104198906,0.7778545629114304,0.18319116016761045,14.932064002735856,4.588603585332073,0.41476406205244476,0.1294808964661083,0.40421875000000007,0.06715169831015073
Kang-Schafer,pi_hat,3,256,120.0,80.0,59.94140625,40.48871954659052,0.49869140625,0.06049072181870093,0.5005234293015539,0.02688606073315307,0.5021504825573356,0.0799364441554503,0.5094169115378816,0.017347594505458423,-0.05507658787657431,0.07371106556018703,0.21456191540872105,0.03123247249110992,0.9388963734315627,0.13750316534296103,0.0034590763073356363,0.07548575810285262,13.026701834788966,4.07727756365543,0.8156025088873897,0.13351917365084917,13.447298140724888,4.031433111678028,0.3732986194771508,0.11264240252703119,0.49869140625,0.06049072181870093
Kang-Schafer,pi_hat,4,256,120.0,80.0,71.16015625,47.36817371638457,0.59767578125,0.06599870056260311,0.5948701914287234,0.028548262697346855,0.8278639931068756,0.04975115064480699,0.5409556500665865,0.03816097407066504,-0.24163720107106318,0.11564372104731807,0.2967347835289114,0.03713825845187565,1.2990515596894392,0.16916419591509738,0.23018821185687557,0.061483043215209324,12.530140486643656,3.7372504987745954,0.829463707689542,0.11647954652838506,12.519542477914424,3.675018962844631,0.34763172489773575,0.10325470786806895,0.59767578125,0.06599870056260311
Kang-Schafer,pi_hat,5,256,120.0,80.0,86.875,59.41557823921265,0.7125781250000001,0.07747853627931012,0.7176411202566644,0.032140672827311374,0.9725985495792703,0.010063039407258863,0.5156595977682559,0.06829719272900694,-0.3403439090202409,0.1550211751831337,0.29557016666225927,0.034164954522859454,1.2950618356730914,0.16691276137371328,0.2600204245792702,0.07331884157790826,12.3439097641813,3.412244303189569,0.8156882475302454,0.12537617309715532,12.098491998031507,3.19611816857009,0.3359770179752437,0.09042331724023767,0.7125781250000001,0.07747853627931012
Kang-Schafer,true_pi,1,256,120.0,80.0,22.32421875,15.609253295790559,0.18630859375,0.05283141751029837,0.18043106356698252,0.01395912804626381,0.167240237083935,0.05405468568584318,0.4415055946746178,0.06087746906722172,-0.3448266805997481,0.2560869105724723,0.2278458738778333,0.04260079218135505,0.998477203725249,0.1960147158522685,-0.019068356666064976,0.03776129567206012,17.72917606378133,7.277822817414162,-5.840305464214709,99.75352662744648,19.742891744507915,5.863574444466829,0.5477803436514019,0.16306551916889747,0.18630859375,0.05283141751029837
Kang-Schafer,true_pi,2,256,120.0,80.0,42.328125,28.989386359224216,0.34968750000000004,0.058353884028828795,0.3544613587756661,0.015880733944985438,0.32870185872463,0.05726110127677306,0.5657125667036171,0.04273767377347104,-0.4392939844769779,0.19357208322610803,0.30612493838442756,0.027222835700304156,1.340501296588896,0.13198607336733303,-0.020985641275370028,0.056100203238734415,13.62344673434425,4.37851401457119,0.7277341016022285,0.21477925434045972,13.708152086031404,4.009166394134148,0.38045586484112043,0.11176983426339007,0.34968750000000004,0.058353884028828795
Kang-Schafer,true_pi,3,256,120.0,80.0,60.0546875,40.68655117821298,0.4979296875,0.06286930684883,0.5004981471992295,0.018206823826514496,0.5035888235991177,0.06849203340963278,0.5946369593971897,0.035578046816634686,-0.44286949403735476,0.17344870962195771,0.32837429622512343,0.025045022970368643,1.437359546001139,0.1182636532808871,0.005659136099117746,0.06496966212898538,12.600369639308013,3.792099822341197,0.768562217131366,0.16286284004446971,12.502204645874848,3.3710738568920475,0.3473728974324644,0.09596938266056693,0.4979296875,0.06286930684883
Kang-Schafer,true_pi,4,256,120.0,80.0,77.5078125,51.89675689737118,0.6466796874999999,0.06479166535830318,0.6461551875932067,0.016857708117161974,0.6695400048779174,0.057277160551508555,0.5599408398143618,0.05002279452734938,-0.4093688583290044,0.21295061317948363,0.30439305529359795,0.02910579548353843,1.3323209914211507,0.1329430767383863,0.022860317377917452,0.05044805601804446,12.019971725141074,3.6762769451149677,0.7995008347481712,0.13304791961479526,11.984448688176538,3.5769129658843704,0.3327985454686895,0.10042068899107774,0.6466796874999999,0.06479166535830318
Kang-Schafer,true_pi,5,256,120.0,80.0,98.171875,65.51664976541745,0.81875,0.04828099716762278,0.8204064313892993,0.012842277270477286,0.8358931664643159,0.05422026497310199,0.4393738670987722,0.061662624676859956,-0.3446591989522846,0.21506933278283286,0.22567350656436527,0.04423135179799692,0.988465124738613,0.1995719589663647,0.017143166464315983,0.03697757405383544,13.48963302216944,3.895668383590367,0.7775884181770147,0.13938287294233395,13.399428192104171,3.884894516997805,0.37222096022563955,0.11019611593192709,0.81875,0.04828099716762278
Twins,pi_hat,1,128,600.0,0.0,47.328125,11.145423230383626,0.07888020833333334,0.01857570538397271,0.07866567567804332,0.0128868113666952,0.02390104358327471,0.006986892469873449,0.26798845347943656,0.028422202513424588,-0.005689984749800964,0.021565518374718123,0.13700998007747037,0.024687938021677285,0.4451698368068701,0.08437512762145793,-0.05497916475005862,0.012802698059991457,1.4094668211229782,0.19043452113892556,0.0953618754532633,0.32169961666168767,0.9891211843887988,0.09930167338684144,0.9558996753458937,0.09032898279186043,0.07888020833333334,0.01857570538397271
Twins,pi_hat,2,128,600.0,0.0,417.2578125,15.836195730504336,0.6954296875,0.026393659550840564,0.6948029129143598,0.01821275982393894,0.5155123925101361,0.029657877929250846,0.49179288450068953,0.009549590634075312,-0.1481217402431126,0.05926623596088395,0.2769530575161047,0.016869208283230595,0.8980341376280748,0.04992880092010011,-0.1799172949898639,0.022727698122038176,1.3257612078476702,0.051013214094462335,0.14765971102938358,0.11048141067811748,0.8849766989375065,0.04184640118319434,0.8568436245015414,0.06069559692250604,0.6954296875,0.026393659550840564
Twins,pi_hat,3,128,600.0,0.0,466.34375,11.303648125162956,0.7772395833333334,0.018839413541938257,0.777330099859544,0.004006067381760989,0.8225252640107646,0.012579202839257723,0.4204260053430928,0.01405297705167187,-0.023779773797956254,0.011784594560572067,0.10038816195591269,0.01074603088095022,0.32566254778278503,0.03536309601117159,0.04528568067743133,0.018769165674042156,1.3072012712762189,0.049266546934317854,0.1200358433514073,0.09302768434588474,0.8557007601050917,0.039329258815901484,0.8283564944044437,0.05595622845733408,0.7772395833333334,0.018839413541938257
