source,dataset,setting,group,design,method,n,strength,seed0,rep,selected_tau,floor_share,observed_floor_share,residual_weight_ess_share,ipw_weight_ess_share,max_residual_weight_share,max_ipw_weight_share,score_tail_ratio,floor_sensitivity_se
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 B, strength=3",real_benchmark,acic2016_misaligned,aipw,3000,3.0,2037000000,3,0.05,0.114,0.010218978102189781,0.028222061891748123,0.19811222566406275,0.017721845863708716,0.005155442577376111,15.116222166281075,0.7015996606041359
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 B, strength=3",real_benchmark,acic2016_misaligned,aipw,3000,3.0,2037000000,4,0.05,0.12266666666666666,0.0205,0.033053624640114236,0.18444101445635894,0.013583672476302627,0.004738524525751099,13.944726110557433,2.5238889912888336
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 B, strength=3",real_benchmark,acic2016_misaligned,aipw,3000,3.0,2037100000,1,0.05,0.11,0.017293997965412006,0.0334208476947201,0.1898819801691309,0.01444736440223221,0.00480067455684098,17.97183799474804,6.097177756226321
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 B, strength=3",real_benchmark,acic2016_misaligned,aipw,3000,3.0,2037100000,2,0.05,0.10466666666666667,0.01447876447876448,0.030293622056996962,0.1985611283834536,0.015732880644971893,0.004874925166138578,14.109240219534335,4.574227211672087
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 B, strength=3",real_benchmark,acic2016_misaligned,aipw,3000,3.0,2037100000,3,0.05,0.09366666666666666,0.007858546168958742,0.026886732347622726,0.21945235284242126,0.020521096915323864,0.005213433501206923,15.684886389155029,1.4477342544895084
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 B, strength=3",real_benchmark,acic2016_misaligned,aipw,3000,3.0,2037100000,4,0.05,0.09733333333333333,0.01764705882352941,0.032205755536328776,0.18894767623070202,0.014496367171359062,0.004820957194700506,18.316724670649595,1.1235948036182846
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 B, strength=3",real_benchmark,acic2016_misaligned,aipw,3000,3.0,2037200000,1,0.05,0.10366666666666667,0.014727540500736377,0.032282450216803434,0.18943904036929254,0.014937663090251949,0.004881552653726024,12.855841841937865,1.0277839018790194
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 B, strength=3",real_benchmark,acic2016_misaligned,aipw,3000,3.0,2037200000,2,0.05,0.09533333333333334,0.014306857424765663,0.03110824013906961,0.19644185217406887,0.01554801053179146,0.004876548358183728,12.748360105933243,0.38913510042149807
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 B, strength=3",real_benchmark,acic2016_misaligned,aipw,3000,3.0,2037200000,3,0.05,0.111,0.021706956092747903,0.03539656776419693,0.18222086083871597,0.012583289430740175,0.004602371868947323,12.317369844996422,3.9631435367311183
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 B, strength=3",real_benchmark,acic2016_misaligned,aipw,3000,3.0,2037200000,4,0.05,0.10733333333333334,0.017919362867098058,0.03010912992123338,0.18721151637696717,0.015149104525928127,0.0049447293337790835,25.231787031840206,1.1193791671221163
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 B, strength=3",real_benchmark,acic2016_misaligned,aipw,3000,3.0,2037300000,1,0.05,0.121,0.015144113336590131,0.03287735659886832,0.19051859629591153,0.014626877448362517,0.00481954298862824,16.357151046764486,0.5603587913512306
