group,setting,method,n,strength,reps,low_response_gain,low_response_gain_ci_low,low_response_gain_ci_high,high_response_gain,high_response_gain_ci_low,high_response_gain_ci_high,low_minus_high_gain,low_minus_high_gain_ci_low,low_minus_high_gain_ci_high,low_final_activation,high_final_activation,low_harm,high_harm
Semi-synthetic benchmarks,"ACIC 2017 B, $s=3$",ma_dr_bc,3000,3,96,-0.000195831328621,-0.00336103568214,0.00276857846937,-0.000769718070986,-0.00578696887868,0.00391915940122,0.000573886742365,-0.00504440942518,0.00639941465009,0.0729166666667,0.114583333333,0.0416666666667,0.0416666666667
Semi-synthetic benchmarks,"IHDP A, $s=0$",aipw,3000,0,96,-2.84412031604e-05,-0.0178148609107,0.0154624055574,-0.000177922650372,-0.00419623166495,0.00387759865094,0.000149481447212,-0.0187373561,0.0176326895794,0.09375,0.260416666667,0.0520833333333,0.15625
Semi-synthetic benchmarks,"IHDP A, $s=0$",ctmle,3000,0,96,-0.000502587413051,-0.00666787224866,0.00531536525984,0.000348875084895,-0.00105989683942,0.00206694880779,-0.000851462497946,-0.00726759955034,0.00527900133645,0.0416666666667,0.166666666667,0.0208333333333,0.104166666667
Semi-synthetic benchmarks,"IHDP A, $s=0$",cui_selective_ml,3000,0,96,-0.0227112756521,-0.0899412203144,0.0334022073721,-8.88624915671e-05,-0.000287722554916,0,-0.0226224131605,-0.0897894441867,0.0334628225202,0.125,0.0208333333333,0.0729166666667,0.0208333333333
Semi-synthetic benchmarks,"IHDP A, $s=0$",ma_dr_bc,3000,0,96,-0.00825884182533,-0.0213486900071,0.000400109241102,0.00221381436213,-0.0072928512602,0.0127181248611,-0.0104726561875,-0.0269166748484,0.0025040625929,0.09375,0.260416666667,0.0625,0.135416666667
Semi-synthetic benchmarks,"IHDP A, $s=3$",aipw,3000,3,96,0.0174427033538,-0.0167295164513,0.0572973675093,-0.000463399887775,-0.00208068008168,0.00122398197193,0.0179061032415,-0.0161306703857,0.0575291876514,0.177083333333,0.177083333333,0.0833333333333,0.09375
Semi-synthetic benchmarks,"IHDP A, $s=3$",ctmle,3000,3,96,0.0109201654689,0.00271543021273,0.0212033478415,0.000477523364951,-0.00066769888765,0.00153558626557,0.0104426421039,0.00199484237252,0.0208274101208,0.0625,0.09375,0,0.0208333333333
Semi-synthetic benchmarks,"IHDP A, $s=3$",cui_selective_ml,3000,3,96,0.0415556211374,0.0245871965361,0.0607597642402,0.000465777444021,-8.68991152953e-05,0.00120921593551,0.0410898436934,0.0240631678983,0.0603507604189,0.291666666667,0.0625,0.0104166666667,0.03125
Semi-synthetic benchmarks,"IHDP A, $s=3$",ma_dr_bc,3000,3,96,0.0246728025797,0.0104329811652,0.0441556031095,0.00666781383526,-0.00167718845368,0.0148489035331,0.0180049887444,0.00159804135095,0.038633792467,0.177083333333,0.177083333333,0.03125,0.0208333333333
Semi-synthetic benchmarks,"IHDP B, $s=0$",aipw,3000,0,96,0.00879278496294,-0.00787901677934,0.0345255577445,-0.000285455090597,-0.0032619894559,0.00221011839361,0.00907824005353,-0.00778275997357,0.0348826512967,0.09375,0.177083333333,0.03125,0.0625
Semi-synthetic benchmarks,"IHDP B, $s=0$",ctmle,3000,0,96,0.000660792097842,-0.000838096865958,0.0030730461249,-0.000604912826726,-0.00172812566621,0.000398969792409,0.00126570492457,-0.000627296684603,0.00388419624616,0.0208333333333,0.104166666667,0.0104166666667,0.0833333333333
Semi-synthetic benchmarks,"IHDP B, $s=0$",cui_selective_ml,3000,0,96,-0.033331986289,-0.0731982578877,-0.0055796694055,0.000611873912665,-0.000617103887133,0.00253657260917,-0.0339438602017,-0.0739275546323,-0.00612590258202,0.166666666667,0.0520833333333,0.135416666667,0.03125
Semi-synthetic benchmarks,"IHDP B, $s=0$",ma_dr_bc,3000,0,96,-0.00719620729383,-0.0216563189686,0.0028089529448,0.00379807174127,-0.00033160551319,0.00865118796644,-0.0109942790351,-0.0259672074497,5.5027564369e-05,0.09375,0.177083333333,0.0416666666667,0.0520833333333
Semi-synthetic benchmarks,"IHDP B, $s=3$",aipw,3000,3,96,0.0168679460344,-0.00746356277613,0.0488772145343,-0.000822015486398,-0.00404787742284,0.00150330303272,0.0176899615208,-0.00703546390699,0.0500101061873,0.0729166666667,0.1875,0.0416666666667,0.0833333333333
Semi-synthetic benchmarks,"IHDP B, $s=3$",ctmle,3000,3,96,-0.00453238636074,-0.0208220777617,0.00385434978407,0.000868045307648,-0.00283916959015,0.00500487368052,-0.00540043166839,-0.0220289439576,0.0039624723664,0.0416666666667,0.125,0.0104166666667,0.0416666666667
Semi-synthetic benchmarks,"IHDP B, $s=3$",cui_selective_ml,3000,3,96,0.011161177057,-7.12231574287e-05,0.0272419186257,0.00133959195987,-0.00167271214071,0.00512700251209,0.00982158509715,-0.00267686627711,0.0272749277931,0.135416666667,0.197916666667,0.0416666666667,0.104166666667
Semi-synthetic benchmarks,"IHDP B, $s=3$",ma_dr_bc,3000,3,96,0.00546891721492,-0.000384832165232,0.0179250317345,-0.0100343756464,-0.0293533432677,0.00207808196126,0.0155032928613,-4.46927044494e-05,0.0373462796869,0.0729166666667,0.1875,0.03125,0.114583333333
Semi-synthetic benchmarks,"Twins A, $s=0$",aipw,3000,0,96,-0.00384201810574,-0.0122639837309,0.00190024923308,0.000592992707653,-0.000221937526648,0.00176737393572,-0.00443501081339,-0.0128817078773,0.00139800309536,0.0416666666667,0.0729166666667,0.0208333333333,0.0416666666667
Semi-synthetic benchmarks,"Twins A, $s=0$",ctmle,3000,0,96,0,0,0,-4.13551282012e-05,-0.00156878844608,0.00143209521304,4.13551282012e-05,-0.00143209521304,0.00156878844608,0,0.03125,0,0.0104166666667
Semi-synthetic benchmarks,"Twins A, $s=0$",cui_selective_ml,3000,0,96,-0.0452476207931,-0.163385738121,0.024315186978,0.00591295484,-0.00387901858916,0.0191986383158,-0.0511605756331,-0.170929768953,0.0198603259707,0.145833333333,0.302083333333,0.0833333333333,0.135416666667
Semi-synthetic benchmarks,"Twins A, $s=0$",ma_dr_bc,3000,0,96,-0.000317192356657,-0.00216277147526,0.00102078412438,0.00105307223341,-0.00293440190916,0.00515672984253,-0.00137026459007,-0.00588149374262,0.00284511827828,0.0416666666667,0.0729166666667,0.0208333333333,0.0416666666667
Semi-synthetic benchmarks,"Twins A, $s=3$",aipw,3000,3,96,0.000297804072435,-0.000806369983777,0.00206372918189,0.00037315047151,0,0.00105255404415,-7.53463990754e-05,-0.00141109191478,0.00175114383548,0.0416666666667,0.0208333333333,0.03125,0
Semi-synthetic benchmarks,"Twins A, $s=3$",ctmle,3000,3,96,0.00288167961701,-0.00348923903261,0.0131230102871,4.07685822276e-05,0,0.00013092734469,0.00284091103478,-0.00352709659533,0.0131036042424,0.03125,0.0104166666667,0.0208333333333,0
Semi-synthetic benchmarks,"Twins A, $s=3$",cui_selective_ml,3000,3,96,0.164050535631,0.098739496511,0.249049884362,0.000973753629866,-3.91014616772e-05,0.00231609342345,0.163076782002,0.0979706445338,0.247754255252,0.53125,0.21875,0.03125,0.0625
Semi-synthetic benchmarks,"Twins A, $s=3$",ma_dr_bc,3000,3,96,0.0101612073905,9.11454710898e-05,0.0288096701477,0.00097366307327,0,0.00275607960625,0.00918754431727,-0.0013017605698,0.0278538652055,0.0416666666667,0.0208333333333,0,0
Semi-synthetic benchmarks,"Twins B, $s=0$",aipw,3000,0,96,0.00782824543273,0,0.0204419915066,6.43729343417e-05,-3.21369758218e-05,0.000216489813122,0.00776387249838,-0.000120949363239,0.020418664544,0.0208333333333,0.03125,0,0.0104166666667
Semi-synthetic benchmarks,"Twins B, $s=0$",ctmle,3000,0,96,-0.00765803608585,-0.0249645467802,0.00282234278318,0,0,0,-0.00765803608585,-0.0249645467802,0.00282234278318,0.0416666666667,0,0.03125,0
Semi-synthetic benchmarks,"Twins B, $s=0$",cui_selective_ml,3000,0,96,-0.0103124447776,-0.0366469567294,0.00245601463347,0.00124972515704,-0.00142417066228,0.00483620749807,-0.0115621699346,-0.0384663517485,0.00122262431225,0.09375,0.197916666667,0.0520833333333,0.0833333333333
Semi-synthetic benchmarks,"Twins B, $s=0$",ma_dr_bc,3000,0,96,0.000110828056652,-0.000313959699414,0.000696273882468,0.00747591793512,0,0.0233140940735,-0.00736508987847,-0.0232448063421,0.000181346299822,0.0208333333333,0.03125,0.0104166666667,0
Semi-synthetic benchmarks,"Twins B, $s=3$",aipw,3000,3,96,0.00568855367462,-0.00925713754887,0.0253836215178,-0.000142280102655,-0.000490372078955,0,0.00583083377727,-0.00884104081599,0.0254760972128,0.0520833333333,0.0104166666667,0.0208333333333,0.0104166666667
Semi-synthetic benchmarks,"Twins B, $s=3$",ctmle,3000,3,96,-0.00998119833732,-0.0332520620534,0,0,0,0,-0.00998119833732,-0.0332520620534,0,0.0208333333333,0,0.0208333333333,0
Semi-synthetic benchmarks,"Twins B, $s=3$",cui_selective_ml,3000,3,96,-0.00794050770945,-0.0490109470595,0.0289974458754,0.00604592113488,-0.00388433380529,0.01872693426,-0.0139864288443,-0.0593436133066,0.0250336760759,0.208333333333,0.354166666667,0.135416666667,0.15625
Semi-synthetic benchmarks,"Twins B, $s=3$",ma_dr_bc,3000,3,96,-0.0017689395014,-0.00506350437443,0.0003296194584,-0.000327357557035,-0.00114606322653,0,-0.00144158194437,-0.00483742997478,0.00111823537003,0.0520833333333,0.0104166666667,0.0416666666667,0.0104166666667
