dataset,setting,method,n,strength,c,reps,reference_mse,repaired_mse,gain,gain_ci_low,gain_ci_high,activation,harm,mean_weight
acic2016,A_s0,cui_selective_ml,3000,0,5,96,0.00115690180942,0.00115964638527,-0.00237234986182,-0.00837983608323,0,0.0104166666667,0.0104166666667,0.00634125804987
acic2016,A_s0,cui_selective_ml,3000,0,6,96,0.00115690180942,0.00115926622648,-0.00204374912119,-0.007219121811,0,0.0104166666667,0.0104166666667,0.00552617632651
acic2016,A_s0,cui_selective_ml,3000,0,8,96,0.00115690180942,0.00115853014041,-0.00140749281373,-0.0049716777686,0,0.0104166666667,0.0104166666667,0.00389601287979
acic2016,A_s0,cui_selective_ml,3000,0,10,96,0.00115690180942,0.00115782636301,-0.000799163404666,-0.00282287972891,0,0.0104166666667,0.0104166666667,0.00226584943307
acic2016,A_s0,ma_dr_bc,3000,0,0,96,0.00796682508843,0.00795132759893,0.00194525288654,0,0.00550835709454,0.03125,0,0.03125
acic2016,A_s0,ma_dr_bc,3000,0,0.25,96,0.00796682508843,0.00795301719465,0.00173317395941,0,0.00495000184781,0.0208333333333,0,0.0179351698737
acic2016,A_s0,ma_dr_bc,3000,0,0.5,96,0.00796682508843,0.00795478805311,0.00151089489086,0,0.00435910679807,0.0208333333333,0,0.0150370064141
acic2016,A_s0,ma_dr_bc,3000,0,0.75,96,0.00796682508843,0.00795666676084,0.00127507852571,0,0.0038333496417,0.0208333333333,0,0.0121388429545
acic2016,A_s0,ma_dr_bc,3000,0,1,96,0.00796682508843,0.00795865331785,0.00102572486396,0,0.00336713066356,0.0208333333333,0,0.00924067949483
acic2016,A_s0,ma_dr_bc,3000,0,1.25,96,0.00796682508843,0.00796027758596,0.000821845892199,0,0.00302618715081,0.0104166666667,0,0.0069253901972
acic2016,A_s0,ma_dr_bc,3000,0,1.5,96,0.00796682508843,0.00796067454579,0.00077201928966,0,0.00284271647121,0.0104166666667,0,0.00622713490331
acic2016,A_s0,ma_dr_bc,3000,0,1.75,96,0.00796682508843,0.00796113053024,0.000714783885743,0,0.00263196522751,0.0104166666667,0,0.00552887960942
acic2016,A_s0,ma_dr_bc,3000,0,2,96,0.00796682508843,0.00796164553932,0.000650139680447,0,0.00239393341973,0.0104166666667,0,0.00483062431552
acic2016,A_s0,ma_dr_bc,3000,0,2.25,96,0.00796682508843,0.00796221957302,0.000578086673773,0,0.00212862104785,0.0104166666667,0,0.00413236902163
acic2016,A_s0,ma_dr_bc,3000,0,2.5,96,0.00796682508843,0.00796285263134,0.000498624865722,0,0.00183602811189,0.0104166666667,0,0.00343411372774
acic2016,A_s0,ma_dr_bc,3000,0,2.75,96,0.00796682508843,0.00796354471429,0.000411754256292,0,0.00151615461184,0.0104166666667,0,0.00273585843384
acic2016,A_s0,ma_dr_bc,3000,0,3,96,0.00796682508843,0.00796429582187,0.000317474845484,0,0.0011690005477,0.0104166666667,0,0.00203760313995
acic2016,A_s0,ma_dr_bc,3000,0,3.25,96,0.00796682508843,0.00796510595407,0.000215786633297,0,0.000794565919474,0.0104166666667,0,0.00133934784606
acic2016,A_s0,ma_dr_bc,3000,0,3.5,96,0.00796682508843,0.00796597511089,0.000106689619733,0,0.000392850727156,0.0104166666667,0,0.000641092552164
acic2016,A_s0,ma_dr_bc,3000,0,3.75,96,0.00796682508843,0.00796682508843,0,0,0,0,0,0
acic2016,A_s0,ma_dr_bc,3000,0,4,96,0.00796682508843,0.00796682508843,0,0,0,0,0,0
acic2016,A_s0,ma_dr_bc,3000,0,4.25,96,0.00796682508843,0.00796682508843,0,0,0,0,0,0
acic2016,A_s0,ma_dr_bc,3000,0,4.5,96,0.00796682508843,0.00796682508843,0,0,0,0,0,0
acic2016,A_s0,ma_dr_bc,3000,0,4.75,96,0.00796682508843,0.00796682508843,0,0,0,0,0,0
acic2016,A_s0,ma_dr_bc,3000,0,5,96,0.00796682508843,0.00796682508843,0,0,0,0,0,0
acic2016,A_s0,ma_dr_bc,3000,0,6,96,0.00796682508843,0.00796682508843,0,0,0,0,0,0
acic2016,A_s0,ma_dr_bc,3000,0,8,96,0.00796682508843,0.00796682508843,0,0,0,0,0,0
acic2016,A_s0,ma_dr_bc,3000,0,10,96,0.00796682508843,0.00796682508843,0,0,0,0,0,0
acic2016,A_s3,aipw,3000,3,0,96,0.00837083167655,0.0082678780622,0.0122990902603,-0.0115193107419,0.039514889241,0.135416666667,0.0625,0.135416666667
acic2016,A_s3,aipw,3000,3,0.25,96,0.00837083167655,0.00829521214015,0.0090336945379,-0.0108833551062,0.0326313135649,0.09375,0.0520833333333,0.0692899580546
acic2016,A_s3,aipw,3000,3,0.5,96,0.00837083167655,0.00830188813411,0.00823616399191,-0.00848122306738,0.0290363970027,0.0833333333333,0.0416666666667,0.0479905622436
acic2016,A_s3,aipw,3000,3,0.75,96,0.00837083167655,0.00831492547432,0.00667869148409,-0.00742742727211,0.0248832247898,0.0729166666667,0.03125,0.0337607029495
