source,dataset,setting,group,design,method,n,strength,seed0,rep,response_bin,response_bin_label,n_share,mean_true_pi,min_true_pi,max_true_pi,rho,action_square_contribution,weighted_action_square_contribution,absolute_action_contribution,ref_weighted_residual_square_contribution,selected_weighted_residual_square_contribution,weighted_residual_square_delta,weighted_residual_square_reduction,ref_unweighted_residual_square_contribution,selected_unweighted_residual_square_contribution,unweighted_residual_square_delta,unweighted_residual_square_reduction,selected_gamma,c2_weight
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030900000,2,1,lowest_response,0.25,0.29437739915295424,0.05,0.7015830035409291,3.933250360161387,0.0,0.0,0.0,1.7934198727924522,1.7934198727924522,0.0,0.0,0.14690417661998073,0.14690417661998073,0.0,0.0,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030900000,3,1,lowest_response,0.25,0.32001820454072066,0.05,0.7063486773588836,3.8171274379824816,0.0,0.0,0.0,1.4751541385559521,1.4751541385559521,0.0,0.0,0.12455152213878348,0.12455152213878348,0.0,0.0,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030900000,4,1,lowest_response,0.25,0.30902537526904117,0.05,0.7048364923974173,4.720462160853486,0.0,0.0,0.0,1.4262922564721527,1.4262922564721527,0.0,0.0,0.12676944275138416,0.12676944275138416,0.0,0.0,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2031000000,1,1,lowest_response,0.25,0.2852809192529334,0.05,0.7027285982087066,4.1636992686285765,0.0,0.0,0.0,1.7126370843323242,1.7126370843323242,0.0,0.0,0.1522250640821611,0.1522250640821611,0.0,0.0,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2031000000,2,1,lowest_response,0.25,0.3143139234881622,0.05,0.7073109768798167,3.7539082129808987,0.0,0.0,0.0,1.6624939132488128,1.6624939132488128,0.0,0.0,0.14417114409304985,0.14417114409304985,0.0,0.0,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2031000000,3,1,lowest_response,0.25,0.3067936985350274,0.05,0.7068985627994169,4.4860901191367955,0.0,0.0,0.0,1.6250089108562886,1.6250089108562886,0.0,0.0,0.13623842237820713,0.13623842237820713,0.0,0.0,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2031000000,4,1,lowest_response,0.25,0.29303209609109215,0.05,0.7035076025827953,4.151064398850373,0.0,0.0,0.0,1.4234175086050782,1.4234175086050782,0.0,0.0,0.12459953065957292,0.12459953065957292,0.0,0.0,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2031100000,1,1,lowest_response,0.25,0.3270738790529751,0.05,0.7068069152259946,4.058378855856425,0.0,0.0,0.0,1.365259474530369,1.365259474530369,0.0,0.0,0.137733344321127,0.137733344321127,0.0,0.0,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2031100000,2,1,lowest_response,0.25,0.29018410053461086,0.05,0.7048823161841283,4.146912153730311,0.0,0.0,0.0,1.5445446914181002,1.5445446914181002,0.0,0.0,0.13776714207801694,0.13776714207801694,0.0,0.0,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2031100000,3,1,lowest_response,0.25,0.29187511768381585,0.05,0.7025911268485733,4.280299269492182,0.0,0.0,0.0,1.7138079869179994,1.7138079869179994,0.0,0.0,0.15498830142386957,0.15498830142386957,0.0,0.0,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2031100000,4,1,lowest_response,0.25,0.3227578337846282,0.05,0.7097396375755052,4.141998923097134,0.0,0.0,0.0,1.816493177995538,1.816493177995538,0.0,0.0,0.15242503634642818,0.15242503634642818,0.0,0.0,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2031200000,1,1,lowest_response,0.25,0.31738272859820876,0.05,0.7045157258904395,4.6074713913169125,0.00778541094518908,0.07343420667621141,0.03393584836536926,1.8699018289187177,1.8531746925144426,0.016727136404275145,0.008945462347586308,0.16081611481865996,0.16715996800771984,-0.006343853189059889,-0.03944786998624705,0.25,1.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2031200000,2,1,lowest_response,0.25,0.3077488884260223,0.05,0.7045157258904395,4.065913845931748,0.0,0.0,0.0,1.2841310032669322,1.2841310032669322,0.0,0.0,0.11224883570198074,0.11224883570198074,0.0,0.0,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2031200000,3,1,lowest_response,0.25,0.29059628966187595,0.05,0.704286606956884,3.8663129586496585,0.0,0.0,0.0,1.5921434558363272,1.5921434558363272,0.0,0.0,0.1363160599752949,0.1363160599752949,0.0,0.0,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2031200000,4,1,lowest_response,0.25,0.28622826911060195,0.05,0.7046531972505728,4.081262713299675,0.0,0.0,0.0,2.247751522096304,2.247751522096304,0.0,0.0,0.16933393299212993,0.16933393299212993,0.0,0.0,0.0,0.0
