dataset,setting,design,method,n,strength,response_bin,response_bin_label,reps,mean_n_share,mean_true_pi,min_true_pi,max_true_pi,mean_rho,path_activation,action_square_contribution,weighted_action_square_contribution,absolute_action_contribution,ref_weighted_residual_square_contribution,selected_weighted_residual_square_contribution,weighted_residual_square_delta,weighted_residual_square_reduction,ref_unweighted_residual_square_contribution,selected_unweighted_residual_square_contribution,unweighted_residual_square_delta,unweighted_residual_square_reduction,mean_rep_weighted_residual_square_delta
Kang-Schafer,"KS IC, n=1000",kang_schafer_ic,ma_dr_bc,1000,0.0,1,lowest_response,96,0.25,0.20219661310068746,0.010498012765348794,0.34010186120097374,2.5448946817813245,0.5625,4.424662913999492,42.436410891683856,0.5050805673364852,502.45014489684354,443.61398189172,58.836163005123524,0.11709850937987687,51.61841218128683,47.44541376193889,4.172998419347941,0.08084321549241247,58.8361630051235
Kang-Schafer,"KS IC, n=1000",kang_schafer_ic,ma_dr_bc,1000,0.0,2,response_bin_2,96,0.25,0.40971358861381607,0.28214671580746736,0.533046623596078,2.5448946817813245,0.5625,1.788542741247981,2.684771760540116,0.34060573478259465,42.30926297675774,41.05041064392093,1.2588523328368169,0.02975358690432295,28.06179761570863,27.262889252564495,0.798908363144136,0.028469607474359337,1.2588523328368197
Kang-Schafer,"KS IC, n=1000",kang_schafer_ic,ma_dr_bc,1000,0.0,3,response_bin_3,96,0.25,0.5918447441695368,0.47410688887170677,0.7126956007617227,2.5448946817813245,0.5625,1.4721119623886845,1.0333177720149325,0.3106398401646005,16.06319215622703,15.97763965520285,0.08555250102417844,0.005325996239857744,22.448621599415997,22.373759358651657,0.07486224076433956,0.0033348257233881684,0.08555250102417923
Kang-Schafer,"KS IC, n=1000",kang_schafer_ic,ma_dr_bc,1000,0.0,4,highest_response,96,0.25,0.7970513526181874,0.6581324907959195,0.9938376557188077,2.5448946817813245,0.5625,1.6727956144772798,0.4099278281398125,0.3250871673808154,5.367367571862643,5.373550525194349,-0.0061829533317059315,-0.001151952656292643,22.14337562990131,22.19907983037471,-0.05570420047340008,-0.0025156146652807188,-0.0061829533317055525
Kang-Schafer,"KS IC, n=200",kang_schafer_ic,aipw,200,0.0,1,lowest_response,96,0.25,0.20082748522135344,0.00910768111700482,0.37000575956094506,3.393717463578161,0.3958333333333333,16.437705449416942,105.37769388435896,0.8389512267521543,1261.4214615181095,1150.501499821861,110.91996169624849,0.08793251508719169,155.49287191597696,146.74657963759367,8.746292278383294,0.05624883102750522,110.9199616962484
Kang-Schafer,"KS IC, n=200",kang_schafer_ic,aipw,200,0.0,2,response_bin_2,96,0.25,0.41001439701236203,0.26051933743233885,0.5795507295671567,3.393717463578161,0.3958333333333333,7.121237089746429,10.779113943536387,0.5574506888001997,102.39393850399034,105.14326115559936,-2.7493226516090203,-0.026850443412740566,67.89681993962198,69.88768491766872,-1.9908649780467442,-0.029321917872105807,-2.7493226516090217
Kang-Schafer,"KS IC, n=200",kang_schafer_ic,aipw,200,0.0,3,response_bin_3,96,0.25,0.593046290268226,0.439603797224589,0.7396155695317567,3.393717463578161,0.3958333333333333,5.769457379751489,4.089541360287671,0.5105258341666195,42.89996144255897,43.35393806800778,-0.45397662544881,-0.010582215232446401,59.48335276884401,60.384116853223894,-0.9007640843798868,-0.015143129000819933,-0.4539766254488112
Kang-Schafer,"KS IC, n=200",kang_schafer_ic,aipw,200,0.0,4,highest_response,96,0.25,0.7967510691186616,0.6366662589920373,0.9919424484788687,3.393717463578161,0.3958333333333333,7.812270933577069,2.046237757981815,0.5697423429071448,15.637786610187247,16.79013788627964,-1.1523512760923946,-0.07369017782489085,66.63483316806611,70.5428636616259,-3.9080304935597923,-0.0586484621894825,-1.1523512760923966
Kang-Schafer,"KS IC, n=200",kang_schafer_ic,ctmle,200,0.0,1,lowest_response,96,0.25,0.20082748522135344,0.00910768111700482,0.37000575956094506,0.4011281418005515,0.40625,6.349520790188002,42.4452028256376,0.5672820868112467,1215.7390263329828,1146.2391562246087,69.49987010837413,0.05716676737605908,149.49349534786202,142.18878600914664,7.304709338715384,0.04886305803284474,69.49987010837398
Kang-Schafer,"KS IC, n=200",kang_schafer_ic,ctmle,200,0.0,2,response_bin_2,96,0.25,0.41001439701236203,0.26051933743233885,0.5795507295671567,0.4011281418005515,0.40625,3.212857002400049,4.957952204929517,0.4127808067576431,101.04179121147234,100.40752871758936,0.6342624938829857,0.006277229315497013,66.99199052943088,66.54283445735685,0.4491560720740324,0.006704623471020854,0.6342624938829665
