source,dataset,setting,group,design,method,n,strength,seed0,rep,selected_tau,correction_tau,cui_selected_propensity_learner,rho,rho2,p_rmse,mean_abs_kappa,p_floor_share,ref_weighted_residual_square,selected_weighted_residual_square,weighted_residual_square_reduction,ref_unweighted_residual_square,selected_unweighted_residual_square,unweighted_residual_square_reduction,replay_selected_tau,replay_selected_gamma,selected_tau_matches,selected_gamma_matches,ref_error,selected_error,c2_error,selected_gamma,c2_weight
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,cui_selective_ml,3000,0.0,2032000000,1,nan,0.05,random_forest,0.5196142348851747,0.26999895309530547,0.1998338797828502,0.2778134106172227,0.0,1.0792210888737432,1.0792210888737432,0.0,0.2583740794663943,0.2583740794663943,0.0,0.05,0.0,True,True,0.020243034053527176,0.020243034053527176,0.020243034053527176,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,cui_selective_ml,3000,0.0,2032000000,2,nan,0.05,gradient_boosting,0.6143112006945705,0.3773782512988048,0.15068140689736026,0.2320377813124012,0.002,0.43886336845590723,0.43886336845590723,0.0,0.1535945152608355,0.1535945152608355,0.0,0.05,0.0,True,True,-0.050868212018492835,-0.050868212018492835,-0.050868212018492835,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,cui_selective_ml,3000,0.0,2032000000,3,nan,0.05,gradient_boosting,0.5880360836192712,0.3457864356382905,0.14774707829405248,0.23613865712239704,0.0023333333333333335,0.9040312707160179,0.9040312707160179,0.0,0.2848275818721714,0.2848275818721714,0.0,0.05,0.0,True,True,0.03861261292339743,0.03861261292339743,0.03861261292339743,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,cui_selective_ml,3000,0.0,2032000000,4,nan,0.05,gradient_boosting,0.9047040166718362,0.818489357782154,0.15077187750041,0.2551972435749514,0.013666666666666667,0.8746893923369028,0.8746893923369028,0.0,0.1808383442394521,0.1808383442394521,0.0,0.05,0.0,True,True,-0.03737052213094326,-0.03737052213094326,-0.03737052213094326,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,ma_dr_bc,3000,0.0,2029700000,1,0.05,0.05,,4.74538044782782,22.518635594626563,0.24590796226367848,0.6927602331228737,0.11733333333333333,1.566877751665145,1.566877751665145,0.0,0.5085655861829705,0.5085655861829705,0.0,0.05,0.0,True,True,-0.023235658305715567,-0.023235658305715567,-0.023235658305715567,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,ma_dr_bc,3000,0.0,2029700000,2,0.05,0.05,,4.143020742611181,17.164620873706507,0.24311081377807683,0.6919966909200822,0.104,1.6320154784595886,1.6320154784595886,0.0,0.5643365601769508,0.5643365601769508,0.0,0.05,0.0,True,True,0.09508809214163144,0.09508809214163144,0.09508809214163144,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,ma_dr_bc,3000,0.0,2029700000,3,0.05,0.05,,3.823837794919632,14.621735481855833,0.23799694484983405,0.6094281407813434,0.112,1.7391878109228274,1.7391878109228274,0.0,0.5688982795450882,0.5688982795450882,0.0,0.05,0.0,True,True,0.04411149808681033,0.04411149808681033,0.04411149808681033,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,ma_dr_bc,3000,0.0,2029700000,4,0.05,0.05,,3.799442066154721,14.435760014066055,0.23427052599528966,0.5937126183011003,0.11866666666666667,1.8842510305086884,1.8842510305086884,0.0,0.5541469938089686,0.5541469938089686,0.0,0.05,0.0,True,True,-0.004443986600283045,-0.004443986600283045,-0.004443986600283045,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,ma_dr_bc,3000,0.0,2029800000,1,0.05,0.05,,4.269017254268203,18.22450831723962,0.2422235375700585,0.6652519556968798,0.11266666666666666,1.5648832409723612,1.5648832409723612,0.0,0.5374415899478348,0.5374415899478348,0.0,0.05,0.0,True,True,0.0037253436350302396,0.0037253436350302396,0.0037253436350302396,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,ma_dr_bc,3000,0.0,2029800000,2,0.05,0.05,,4.191069115095739,17.56506032750938,0.23539548990350617,0.6294749031365714,0.11733333333333333,1.5165394227745135,1.5165394227745135,0.0,0.54854146943405,0.54854146943405,0.0,0.05,0.0,True,True,0.01107796343300185,0.01107796343300185,0.01107796343300185,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,ma_dr_bc,3000,0.0,2029800000,3,0.05,0.05,,4.471283943201561,19.9923801007321,0.24078138347345573,0.6828214535137698,0.115,1.7402507858832001,1.7402507858832001,0.0,0.5610245499287487,0.5610245499287487,0.0,0.05,0.0,True,True,-0.11942178991817169,-0.11942178991817169,-0.11942178991817169,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,ma_dr_bc,3000,0.0,2029800000,4,0.05,0.05,,3.9911344431907914,15.929154143623867,0.23573205409448167,0.6133082973419566,0.10533333333333333,1.1673475541998177,1.1673475541998177,0.0,0.504356870557119,0.504356870557119,0.0,0.05,0.0,True,True,0.05932061078999721,0.05932061078999721,0.05932061078999721,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,ma_dr_bc,3000,0.0,2029900000,1,0.05,0.05,,4.134629055941955,17.095157430239464,0.2325012398222632,0.6202986059625224,0.112,1.4716248981615838,1.4716248981615838,0.0,0.5313384538983968,0.5313384538983968,0.0,0.05,0.0,True,True,0.0345684845161021,0.0345684845161021,0.0345684845161021,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,ma_dr_bc,3000,0.0,2029900000,2,0.05,0.05,,4.090486094198515,16.73207648683142,0.2413019453893576,0.6719774254841461,0.11066666666666666,1.4810723047532968,1.5961244025475705,-0.07768162123147526,0.508974973609501,0.556352003368326,-0.09308322062053676,0.05,0.25,True,True,0.08003655349067715,0.06265018623448308,0.06265018623448308,0.25,1.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,ma_dr_bc,3000,0.0,2029900000,3,0.05,0.05,,3.7704946400171755,14.21662983039825,0.23926647782649985,0.619616115826846,0.102,1.506749948374105,1.506749948374105,0.0,0.5120833417506826,0.5120833417506826,0.0,0.05,0.0,True,True,0.13085254449450603,0.13085254449450603,0.13085254449450603,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,ma_dr_bc,3000,0.0,2029900000,4,0.05,0.05,,4.647225039628023,21.596700568945682,0.2574337995472771,0.7584578540523081,0.089,1.8618619190751422,1.8618619190751422,0.0,0.5840289547330054,0.5840289547330054,0.0,0.05,0.0,True,True,-0.05846727416012112,-0.05846727416012112,-0.05846727416012112,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,ma_dr_bc,3000,0.0,2030000000,1,0.05,0.05,,4.3788979387463245,19.17474715795681,0.24166626876874492,0.6540578038631272,0.12266666666666666,1.548150838625627,1.548150838625627,0.0,0.4937089793092752,0.4937089793092752,0.0,0.05,0.0,True,True,-0.10262883283175177,-0.10262883283175177,-0.10262883283175177,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,ma_dr_bc,3000,0.0,2030000000,2,0.05,0.05,,4.083307831605109,16.673402847647615,0.24579574958539613,0.6659446523873099,0.1,1.617659709131761,1.617659709131761,0.0,0.5317976029803566,0.5317976029803566,0.0,0.05,0.0,True,True,-0.0472143218118807,-0.0472143218118807,-0.0472143218118807,0.0,0.0
