block,panel,dataset,method,method_label,c,cells,equal_cell_relative_mse_reduction,ci_lo,ci_hi,mean_activation,mean_harm_rate,equal_cell_gross_harm_mse,equal_cell_gross_benefit_mse
natural,ks_ctmle,Kang--Schafer,ctmle,C-TMLE,6,8,0.0082819530989128864,0.0028764064587567598,0.01505879680396166,0.020833333333333332,0.0013020833333333333,1.0438115715208067e-06,0.0082829969104844855
natural,ks_ctmle,Kang--Schafer,ctmle,C-TMLE,8,8,0.0050917702030746914,0.0012047035628805914,0.010156109748462495,0.01171875,0,0,0.0050917702030747174
natural,ks_cui,Kang--Schafer,cui_selective_ml,selective ML,0,8,0.14051924494769016,0.10335675429422368,0.17350587665147796,0.47786458333333331,0.18359375,0.055766949741950365,0.19628619468964054
natural,ks_cui,Kang--Schafer,cui_selective_ml,selective ML,1,8,0.096559508870063787,0.069404299474205719,0.12244255159373517,0.16015625,0.040364583333333329,0.012136223151807977,0.1086957320218718
natural,ks_cui,Kang--Schafer,cui_selective_ml,selective ML,2,8,0.057579589535292283,0.035267441364167901,0.078429291099970849,0.09375,0.01171875,0.0055896477767271892,0.063169237312019483
natural,ks_cui,Kang--Schafer,cui_selective_ml,selective ML,3,8,0.033505157345969858,0.015157648726297749,0.051557651478749578,0.057291666666666657,0.0065104166666666661,0.0032966538682246945,0.036801811214194527
natural,ks_cui,Kang--Schafer,cui_selective_ml,selective ML,4,8,0.021803683103863908,0.0058911264779711436,0.037597183217014066,0.032552083333333329,0.00390625,0.0018848337381365907,0.023688516842000528
natural,ks_cui,Kang--Schafer,cui_selective_ml,selective ML,5,8,0.01438312610979095,0.0012228477809421792,0.028007003701121587,0.020833333333333336,0.0026041666666666665,0.0010447529783052258,0.015427879088096168
natural,ks_cui,Kang--Schafer,cui_selective_ml,selective ML,6,8,0.0099491234822008806,-0.00040446323985215033,0.02112274372331973,0.010416666666666666,0.0026041666666666665,0.00052201572717259516,0.010471139209373464
natural,ks_cui,Kang--Schafer,cui_selective_ml,selective ML,8,8,0.0044484491989340569,-0.00012242719028976375,0.010206733975982684,0.00390625,0.0013020833333333333,5.4609438351745248e-05,0.0045030586372857987
natural,ks_tmle,Kang--Schafer,tmle,plain TMLE (projection),0,8,0,0,0,0,0,0,0
natural,ks_tmle,Kang--Schafer,tmle,plain TMLE (projection),1,8,0,0,0,0,0,0,0
natural,ks_tmle,Kang--Schafer,tmle,plain TMLE (projection),2,8,0,0,0,0,0,0,0
